,playerName,homeRuns,baseOnBalls
0,Vladimir Guerrero Jr.,21,40
1,Jesse Winker,17,24
2,Nick Castellanos,13,20
3,Ronald Acuna Jr.,18,36
4,Matt Olson,18,28
5,Shohei Ohtani,17,25
6,Max Muncy,14,46
7,Xander Bogaerts,12,22
8,Kris Bryant,13,26
9,Yuli Gurriel,10,28
10,J.D. Martinez,13,24
11,Aaron Judge,15,35
12,Jared Walsh,14,22
13,Cedric Mullins,9,26
14,Nelson Cruz,13,22
15,Austin Riley,12,24
16,Bryan Reynolds,10,35
17,Rafael Devers,15,21
18,Marcus Semien,15,26
19,Jose Ramirez,14,28
20,Michael Brantley,3,12
21,Yordan Alvarez,9,11
22,Adam Frazier,2,22
23,Brandon Crawford,14,23
24,Carlos Correa,11,33
